MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
ATMEGA328P-AU,100pcs,1-100pcs 100% Quality ATMEGA328P-AU Atmega328 328 Original Atmega328-AU ATMEGA328P Mega328 Microcontroller MCU au QFP-32 Chip,JJSR Elec Expert,489.7200,,aliexpress,"Jun 2, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8150761311629074
TC1044SEOA,,5PCS TC1044SEOA TC1044SE TC1044S TC1044 SOP8,Auspicious I'C,3.6500,,aliexpress,"Jan 5, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8144456868139074
,,100PCS ROHS 2.54MM 2*40 2.54 2X40 80PIN Pitch Straight Needle Double Row Pin Header Male,KeXunDa Eelctronics,15.2000,,aliexpress,"Dec 8, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159038562149074
APA102 2020,4000pcs,10~4000Pcs APA102 LED Chips APA102 2020 SMD RGB Smart LEDs APA102C 2020 Chips DC5V,WESIRI Official,418.4600,,aliexpress,"Aug 29, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192180411529074
AD711JN,50PCS,(10Pcs-50Pcs/Lot) 100% New original AD711JN AD711JNZ AD711 DIP8 Chipset,DAIPAI Official,67.0600,,aliexpress,"Nov 12, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8206887976329074
,,50PCS/Lot New Slide Switch 2 Position 6 Pin Toggle Switch For PCB DPDT Vertical Switch Lever Switchs,ecmall,1.7800,,aliexpress,"Sep 6, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192942289889074
3362S,1M Ohm,50Pcs 3362 series 3362S - 101 201 501 102 202 103 504 105 Trimpo Trimmer Potentiometer 10R 50R500R 1K 2K 10K 20K 50K 100K 1M 2M,JingHeng Global,3.6900,,aliexpress,"Oct 29, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8205842678299074
MMBF5457,100PCS,20PCS - 50PCS -100PCS MMBF5457 MMBF5457LT1G SOT-23,Chinese Super Electronic market,10.7100,,aliexpress,"Oct 4, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8193390560829074
ATMEGA328P-AU,,ATMEGA328P-AU QFP ATMEGA328-AU TQFP ATMEGA328P MEGA328-AU SMD new and original IC ATMEGA328P-U,TENSTAR ROBOT GREAT WALL,3.1200,,aliexpress,"Jan 5, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8144172725079074
GL5539,,50PCS 5539 GL5539 5MM LDR Photo Light Sensitive Resistor Photoelectric Photoresistor new,Shop1927055,1.0800,,aliexpress,"Jan 5, 2026",https://www.aliexpress.com/p/order/detail.html?orderId=8207546016939074
