MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
GL5549,,1000pcs Photo Light Sensitive Resistor Photoresistor Optoresistor 5mm GL5549 GL5539 GL5537 GL5528 GL5516 GL5506,Hardware appliances,22.0000,,aliexpress,"Jul 29, 2018",https://www.aliexpress.com/p/order/detail.html?orderId=93550075419074
,,10Pcs/lot 2x4 8 Pin 2.54mm Double Row Female Straight Header Pitch Socket 2*4 Pin Socket Pin Strip JST Connector For Arduino,Aideepen Direct,0.1400,,aliexpress,"Mar 30, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012057469079074
GL5528,5528,50PCS/lot LDR Photo Light Sensitive Resistor Photoelectric Photoresistor 5528 GL5528 5537 5506 5516 5539 5549 For Arduino,Shop1104068752,1.6300,,aliexpress,"Dec 23, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8196789964809074
,,Free Shipping 5pcs Pins Multipurpose: Male- 10pcs 40 Pin 1x40 Single Row Male Breakable Pin Header Connector Strip for Arduino,JYMANUAL JYMANUAL,0.9300,,aliexpress,"Jul 15, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8017096237999074
,,2.2 inch TFT LCD Display module Touch Screen Shield + UNO R3 Kit with USB cable / TF Card / Pen for Arduino UNO R3/ Mega 2560,Shop1199788,10.5200,,aliexpress,"Jan 29, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8009981450669074
PLP1,L 9.5MM,100PC Clear color 2.54MM-21.1MM LIGHT PIPE FOR 3MM Led Diode LED Tube Lampshade Replace PLP1 Flat head light,win-win Manufacture,13.0700,,aliexpress,"Jun 2, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8150857081929074
,,100pcs/lot 2.54mm 2X6 Pin Double Row Female 6P Straight Header Pitch Socket Strip,EC-Buying Ali,5.2000,,aliexpress,"Apr 11, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012563146079074
WS2812,"16mA, 100pcs",50-1000Pcs WS2812 2020 LED Chip 4pins Mini SMD White PCB Addressable Digital RGB Full Color LED Chip DC5V for LED strip Screen,JIUFENG LIGHTING,12.7900,,aliexpress,"Sep 16, 2019",https://www.aliexpress.com/p/order/detail.html?orderId=8002219490759074
WS2812B,100 pcs,WS2812B 2020 (4pins) SMD 2020 Mini LED Chip Addressable Digital RGB Full Color LED Chip for LED Strip Screen DC5V 10Pcs-1000Pcs,Shop3083112,11.9900,,aliexpress,"Sep 17, 2019",https://www.aliexpress.com/p/order/detail.html?orderId=8002219060099074
,L 8.9MM,100PC Clear color 2.54MM-15.9MM LIGHT PIPE FOR 3MM Led Diode LED Tube Lampshade Replace CLP-3.0,win-win Manufacture,11.9000,,aliexpress,"Sep 16, 2019",https://www.aliexpress.com/p/order/detail.html?orderId=8002218367979074
,Spring OD 54mm,uxcell 2PCS Drill Press Springs OD 43mm-80mm Drill Press Quill Feed Return Coil Assembly Spring Steel Chemical Blackening Finish,U Officer,10.9300,,aliexpress,"Mar 31, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012117780659074
,cable,Teensy 4.1 DEV-16771 IMXRT1062 Mini Computer TEENSY4.1,MBM-Chip,3.0000,,aliexpress,"Apr 11, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8148684101159074
,,10PCS 1X16 PIN Single Row Straight FEMALE PIN HEADER 2.54MM PITCH Strip Connector Socket 1*16 16p 16PIN 16 PIN FOR PCB LCD1602,alinsin,1.0900,,aliexpress,"Apr 11, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012585634979074
WS2812B,"SK6812 3535 WH, 100pcs",Individually Addressable SK6812 Mini 3535 5050 SMD RGB LED Chip Digital Pixels White/Black as WS2812B Leds DC5V 2~1500Pcs,XUNATA Light-Life Discount,9.4800,,aliexpress,"Sep 16, 2019",https://www.aliexpress.com/p/order/detail.html?orderId=8002179580949074
,,50PCS 2x10 20Pin 2.54mm Double Row Female Straight Header Pitch Socket Pin Strip,Worldchips,0.8800,,aliexpress,"Apr 11, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012563146139074
,,1PCS High Voltage DC Converter NIXIE & Magic Eye Tube HV Power Supply Module 250V 6.3V,HuaXinHui 3C,8.3600,,aliexpress,"May 5, 2023",https://www.aliexpress.com/p/order/detail.html?orderId=8167198755409074
,,10Pcs Mini USB Type B 5-Pin Female Socket Right Angle DIP Jack Connector,xin cheng electronic,0.8500,,aliexpress,"Apr 11, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012617345719074
DC022,5.5X2.1MM,10PCS DC022 DC-022K 5.5*2.1 / 5.5 x 2.1mm DC Power Socket/ DC Connector Panel Mounting DC-022 With Card slots,TLZWLA Official,1.0900,,aliexpress,"Jan 23, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8197246567509074
,,10pcs G34Y Mini USB 5pin Female Socket Connector 4foot for Tail Charging Mobile Phone Sale at a Loss,SuperModel,0.5100,,aliexpress,"Apr 11, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8012563146019074
,black,5PCS Mini Round Momentary Push Button Switch Press The Self-Reset 7mm Red Yellow Green Blue Black White,TianShiKai,1.9400,,aliexpress,"Feb 27, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8198855584139074
